dsreg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4945,0.0000,0.0093,0.0024,0.0000,0.0000,0.0067,0.2206,0.0931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0510,0.0020,0.0000,0.0657,0.0000,0.0000,0.0356,0.0000
22,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1835,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1153,0.0083,0.0068,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0099,0.0000,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0927,0.0000,0.2695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0710,0.0006,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0146,0.2282,0.1959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0497,0.0000,0.0000,0.0501,0.0000,0.0000,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0824,0.0000,0.0000,0.0000,0.0000,0.0000,0.5030,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.3903,0.0000,0.0000,0.0000,0.0026
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0827,0.0448,0.0000,0.0651,0.0000,0.0000,0.0432,0.0000,0.0004,0.0517,0.0367,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0290,0.0000,0.0000,0.0000,0.0000,0.1975,0.0000,0.0000,0.0552,0.0053
27,0.0000,0.3536,0.0000,0.0000,0.0000,0.0009,0.0000,0.0949,0.0000,0.0000,0.0000,0.0091,0.0000,0.0177,0.0007,0.0473,0.0000,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,0.0001,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0199,0.0000,0.1426,0.0000,0.0000,0.0000,0.0195,0.0000,0.1050,0.0000,0.0000,0.0000,0.0025,0.0000,0.0076,0.0000,0.0487,0.0000,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048,0.0000
28,0.0000,0.3328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0558,0.0464,0.0000,0.0617,0.0000,0.0000,0.0334,0.0000,0.0000,0.1184,0.0022,0.0000,0.0199,0.0013,0.0000,0.0000,0.0000,0.0000,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.2706,0.0000,0.0000,0.0394,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0752,0.0000,0.0000,0.0000,0.0000,0.0000,0.5816,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.3369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4498,0.0000,0.0000,0.0000,0.0000,0.0000,0.4418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0412,0.0000,0.0000,0.0000,0.0000
